date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:37:05	137806/137806	---MCZ	200	added ('OK')	text/html	etag:W/%225d9f17ff-21a4e%22	https://pixinvent.com/demo/crypto-ico/html/ltr/template-counter/template-counter-classic.html	C:/Mis%20lugares%20Web/CRYPto%20ICO/pixinvent.com/demo/crypto-ico/html/ltr/template-counter/template-counter-classic.html	(from )
12:37:06	13/13	---M--	200	added ('OK')	text/plain	etag:%2258db68d6-d%22	https://pixinvent.com/robots.txt		(from )
12:37:07	178/178	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jan%202022%2015:37:07%20GMT	https://pixinvent.com/demo/crypto-ico/theme-assets/images/ico/apple-icon-120.png	C:/Mis%20lugares%20Web/CRYPto%20ICO/pixinvent.com/demo/crypto-ico/theme-assets/images/ico/apple-icon-120.png	(from https://pixinvent.com/demo/crypto-ico/html/ltr/template-counter/template-counter-classic.html)
12:37:07	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Mis%20lugares%20Web/CRYPto%20ICO/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://pixinvent.com/demo/crypto-ico/html/ltr/template-counter/template-counter-classic.html)
12:37:08	178939/178939	---MCZ	200	added ('OK')	text/css	etag:W/%225b2b99bc-2bafb%22	https://pixinvent.com/demo/crypto-ico/theme-assets/css/bootstrap.min.css	C:/Mis%20lugares%20Web/CRYPto%20ICO/pixinvent.com/demo/crypto-ico/theme-assets/css/bootstrap.min.css	(from https://pixinvent.com/demo/crypto-ico/html/ltr/template-counter/template-counter-classic.html)
12:37:08	13847/13847	---MCZ	200	added ('OK')	text/css	etag:W/%225af19742-3617%22	https://pixinvent.com/demo/crypto-ico/theme-assets/fonts/themify/style.min.css	C:/Mis%20lugares%20Web/CRYPto%20ICO/pixinvent.com/demo/crypto-ico/theme-assets/fonts/themify/style.min.css	(from https://pixinvent.com/demo/crypto-ico/html/ltr/template-counter/template-counter-classic.html)
12:37:09	33205/33205	---MCZ	200	added ('OK')	text/css	etag:W/%225af19742-81b5%22	https://pixinvent.com/demo/crypto-ico/theme-assets/fonts/flag-icon-css/css/flag-icon.min.css	C:/Mis%20lugares%20Web/CRYPto%20ICO/pixinvent.com/demo/crypto-ico/theme-assets/fonts/flag-icon-css/css/flag-icon.min.css	(from https://pixinvent.com/demo/crypto-ico/html/ltr/template-counter/template-counter-classic.html)
12:37:09	56039/56039	---MCZ	200	added ('OK')	text/css	etag:W/%225af34758-dae7%22	https://pixinvent.com/demo/crypto-ico/theme-assets/vendors/animate/animate.min.css	C:/Mis%20lugares%20Web/CRYPto%20ICO/pixinvent.com/demo/crypto-ico/theme-assets/vendors/animate/animate.min.css	(from https://pixinvent.com/demo/crypto-ico/html/ltr/template-counter/template-counter-classic.html)
12:37:10	9686/9686	---MCZ	200	added ('OK')	text/css	etag:W/%225acce110-25d6%22	https://pixinvent.com/demo/crypto-ico/theme-assets/vendors/flipclock/flipclock.css	C:/Mis%20lugares%20Web/CRYPto%20ICO/pixinvent.com/demo/crypto-ico/theme-assets/vendors/flipclock/flipclock.css	(from https://pixinvent.com/demo/crypto-ico/html/ltr/template-counter/template-counter-classic.html)
12:37:10	19785/19785	---MCZ	200	added ('OK')	text/css	etag:W/%225adf53b4-4d49%22	https://pixinvent.com/demo/crypto-ico/theme-assets/vendors/swiper/css/swiper.min.css	C:/Mis%20lugares%20Web/CRYPto%20ICO/pixinvent.com/demo/crypto-ico/theme-assets/vendors/swiper/css/swiper.min.css	(from https://pixinvent.com/demo/crypto-ico/html/ltr/template-counter/template-counter-classic.html)
12:37:10	1338/1338	---MCZ	200	added ('OK')	text/css	etag:W/%225b2b99bc-53a%22	https://pixinvent.com/demo/crypto-ico/theme-assets/css/demo.min.css	C:/Mis%20lugares%20Web/CRYPto%20ICO/pixinvent.com/demo/crypto-ico/theme-assets/css/demo.min.css	(from https://pixinvent.com/demo/crypto-ico/html/ltr/template-counter/template-counter-classic.html)
12:37:11	92099/92099	---MCZ	200	added ('OK')	text/css	etag:W/%225b2b99bc-167c3%22	https://pixinvent.com/demo/crypto-ico/theme-assets/css/template-counter.min.css	C:/Mis%20lugares%20Web/CRYPto%20ICO/pixinvent.com/demo/crypto-ico/theme-assets/css/template-counter.min.css	(from https://pixinvent.com/demo/crypto-ico/html/ltr/template-counter/template-counter-classic.html)
12:37:11	556/556	---MCZ	200	added ('OK')	text/css	etag:W/%225b2b99b4-22c%22	https://pixinvent.com/demo/crypto-ico/assets/css/style.css	C:/Mis%20lugares%20Web/CRYPto%20ICO/pixinvent.com/demo/crypto-ico/assets/css/style.css	(from https://pixinvent.com/demo/crypto-ico/html/ltr/template-counter/template-counter-classic.html)
12:37:12	4119/4119	---M--	200	added ('OK')	image/png	etag:%225aff3a68-1017%22	https://pixinvent.com/demo/crypto-ico/theme-assets/images-counter/loader-logo.png	C:/Mis%20lugares%20Web/CRYPto%20ICO/pixinvent.com/demo/crypto-ico/theme-assets/images-counter/loader-logo.png	(from https://pixinvent.com/demo/crypto-ico/html/ltr/template-counter/template-counter-classic.html)
12:37:13	145665/145665	---MCZ	200	added ('OK')	text/html	etag:W/%225d9f17d8-23901%22	https://pixinvent.com/demo/crypto-ico/html/ltr/template-counter/index.html	C:/Mis%20lugares%20Web/CRYPto%20ICO/pixinvent.com/demo/crypto-ico/html/ltr/template-counter/index.html	(from https://pixinvent.com/demo/crypto-ico/html/ltr/template-counter/template-counter-classic.html)
12:37:13	592/592	---M--	200	added ('OK')	image/png	etag:%225aff3a68-250%22	https://pixinvent.com/demo/crypto-ico/theme-assets/images-counter/logo.png	C:/Mis%20lugares%20Web/CRYPto%20ICO/pixinvent.com/demo/crypto-ico/theme-assets/images-counter/logo.png	(from https://pixinvent.com/demo/crypto-ico/html/ltr/template-counter/template-counter-classic.html)
12:37:13	6040/6040	---MCZ	200	added ('OK')	text/html	etag:W/%225b2bca1a-1798%22	https://pixinvent.com/demo/crypto-ico/html/ltr/template-counter/template-404.html	C:/Mis%20lugares%20Web/CRYPto%20ICO/pixinvent.com/demo/crypto-ico/html/ltr/template-counter/template-404.html	(from https://pixinvent.com/demo/crypto-ico/html/ltr/template-counter/template-counter-classic.html)
12:37:14	30704/30704	---MCZ	200	added ('OK')	text/html	etag:W/%225d9f181b-77f0%22	https://pixinvent.com/demo/crypto-ico/html/ltr/template-counter/template-inner-page-with-sidebar.html	C:/Mis%20lugares%20Web/CRYPto%20ICO/pixinvent.com/demo/crypto-ico/html/ltr/template-counter/template-inner-page-with-sidebar.html	(from https://pixinvent.com/demo/crypto-ico/html/ltr/template-counter/template-counter-classic.html)
12:37:14	395/395	---M--	200	added ('OK')	image/png	etag:%225aff3a68-18b%22	https://pixinvent.com/demo/crypto-ico/theme-assets/images-counter/icon-bitcoin.png	C:/Mis%20lugares%20Web/CRYPto%20ICO/pixinvent.com/demo/crypto-ico/theme-assets/images-counter/icon-bitcoin.png	(from https://pixinvent.com/demo/crypto-ico/html/ltr/template-counter/template-counter-classic.html)
